"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
0,0,0,73,0,0,0,0
0,0,0,0,0,66,0,7
0,0,0,0,0,73,0,0
0,0,0,0,0,0,73,0
47,25,0,0,0,0,0,0
72,0,0,0,0,0,0,0
0,0,0,0,72,0,0,0
0,0,0,0,29,0,43,0
0,0,0,0,0,72,0,0
0,0,0,0,0,0,72,0
0,0,0,0,0,0,0,72
43,0,0,0,28,0,0,0
0,71,0,0,0,0,0,0
0,9,0,0,0,62,0,0
0,0,71,0,0,0,0,0
0,0,0,0,0,71,0,0
0,0,0,0,0,0,71,0
0,0,0,0,0,0,71,0
17,53,0,0,0,0,0,0
35,35,0,0,0,0,0,0
8,0,35,0,27,0,0,0
0,67,0,0,0,3,0,0
0,21,0,9,0,40,0,0
0,0,70,0,0,0,0,0
0,0,70,0,0,0,0,0
0,0,0,37,0,0,33,0
0,0,0,0,0,70,0,0
